FE1,FE2,FE3,FE4,FE5,FE6,FE7,FE8,FE9,FE10,FE11,FE12,FE13,FE14,FE15,FE16,FE17,FE18,FE19,FE20,FE21,FE22,FE23,FE24,FE25,FE26,FE27,FE28,FE29,FE30,FE31,FE32,Age,Race,Gender,Education,Industry,Occupation,Hours,Years,WorkSituation,OOP1,OOP2,OOP3,OOP4,OOP5,FO1,FO2,FO3,FO4,FO5,FO6,FO7,FO8,FO9,FO10,FO11,FO12,FO13,FO14,FO15,FO16,FO17,FO18,FO19,FO20,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,GO1,GO2,GO3,GO4,GO5,GO6,GO7,GO8,GO9,GO10,GO11,GO12,GO13,class,ID
6,5,6,3,2,2,2,2,2,6,2,2,2,6,2,2,7,2,2,7,6,7,7,2,7,4,6,2,6,6,2,2,51,1,2,3,3,Paraprofessional,35,50,1,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,4,4,3,3,2,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,6,5,5,4,4,3,5,4,4,3,3,3,3,1,182
6,6,3,6,6,5,5,6,6,2,6,4,2,1,5,5,3,5,4,6,5,6,6,4,3,3,6,2,1,4,6,5,42,1,1,5,10,Senior Consultant,45,35,5,5,6,4,3,2,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,1,5,4,5,4,5,5,5,5,5,4,4,3,3,5,3,3,1,1,1,1,1,1,6,7,6,6,6,5,6,6,6,4,5,5,5,2,558
2,1,7,1,1,1,1,1,1,7,2,2,7,7,1,1,7,1,1,7,7,7,7,2,5,7,1,6,4,7,1,1,28,,2,5,4,Nurse,40,23,6,6,7,7,6,6,1,1,1,1,1,3,2,1,1,1,3,1,1,1,1,3,1,2,1,3,3,4,4,4,4,5,4,3,5,4,3,4,5,5,6,6,5,6,6,4,3,2,2,6,1,2,4,2,3,5,5,4,1,470
6,6,2,5,6,5,5,6,5,2,6,5,2,2,6,5,2,5,5,6,6,6,6,5,2,2,5,6,6,3,6,5,21,1,1,5,10,System Administrator,40,11,6,6,7,5,6,5,4,5,4,4,5,5,5,4,4,5,5,4,5,4,5,4,5,5,5,4,4,5,5,5,5,4,4,5,4,4,4,4,3,2,3,4,2,3,1,7,5,6,5,3,2,5,4,3,3,3,2,2,2,257
6,5,5,6,6,5,5,5,5,3,6,6,1,1,5,7,2,5,5,6,6,6,5,5,3,2,6,4,2,3,6,6,22,2,1,6,9,Consultant,50,,5,6,7,4,5,3,4,5,5,4,4,5,5,5,5,5,4,5,5,4,5,3,3,4,4,4,4,5,4,5,5,5,3,4,3,3,2,2,2,2,2,2,1,1,1,6,6,6,7,7,6,6,6,6,6,6,6,2,3,260
7,7,1,7,7,7,7,7,6,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,6,1,1,1,7,6,21,1,1,6,10,banking,55,16,6,6,6,5,6,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,3,4,3,3,3,5,5,5,2,2,2,7,7,7,7,7,7,7,6,6,4,3,5,5,3,222
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7,27,1,2,1,8,cashier,40,23,1,5,5,3,5,3,5,4,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,7,7,7,7,7,1,7,7,7,1,1,1,1,3,394
5,4,5,5,4,4,4,3,4,5,3,3,5,4,4,4,5,4,3,6,5,4,6,5,3,2,5,5,4,4,2,2,49,4,1,4,10,IT Specialist,40,48,6,5,5,5,6,5,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,6,6,6,6,2,2,2,5,6,6,4,6,6,4,6,6,6,3,6,6,1,301
6,7,5,6,7,6,5,6,6,7,7,6,7,6,7,5,6,6,7,5,4,4,6,7,2,2,6,4,7,6,7,6,36,1,1,6,7,Chemist,40,35,1,6,5,6,7,6,4,4,4,3,4,5,4,3,4,3,4,5,3,4,3,4,5,5,4,3,4,5,4,4,5,4,3,4,4,5,4,3,4,5,6,6,3,3,3,5,5,5,7,4,3,4,5,6,6,3,4,2,2,191
6,6,1,6,6,6,6,6,6,1,6,6,2,2,6,6,5,6,5,6,6,5,5,5,2,2,5,2,1,2,6,6,11,5,1,5,9,Compliance Analyst,40,6,5,6,6,4,5,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,4,5,6,4,2,3,3,3,6,6,6,6,6,5,5,6,5,3,3,3,3,3,316
7,7,2,6,6,6,6,6,6,6,7,6,2,2,2,7,5,6,6,6,6,6,6,6,2,1,7,2,2,1,6,6,19,1,1,5,7,Manager,,12,6,7,6,6,6,6,4,5,5,4,5,4,5,4,5,4,4,4,5,5,5,4,4,5,5,5,4,5,5,5,4,4,3,4,2,4,4,4,2,2,2,2,2,2,2,7,7,6,6,6,6,6,6,6,6,5,6,6,3,133
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,1,1,1,6,1,1,7,2,4,4,7,7,20,1,2,4,9,salon manager,40,21,1,4,5,1,4,1,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,2,4,4,4,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,4,6,6,4,3,267
7,6,1,6,6,6,6,6,6,2,6,5,1,2,5,6,3,6,6,6,5,5,6,6,2,2,7,2,2,2,6,6,32,1,2,2,8,Team Lead Retail,40,25,1,7,7,5,7,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,3,3,3,3,2,1,7,7,7,7,7,6,6,7,6,1,1,1,1,3,569
6,5,3,6,5,6,6,5,6,2,5,5,2,2,6,5,4,5,4,6,5,6,6,5,2,2,7,3,2,2,6,5,26,1,1,4,9,Firefighter,72,27,1,5,6,3,3,2,4,3,3,4,3,4,4,2,4,3,4,4,4,4,3,2,3,4,2,3,4,4,4,4,4,4,4,4,3,3,4,3,2,2,2,6,6,2,2,6,6,5,6,6,6,6,2,4,6,2,6,6,3,390
7,7,1,7,7,5,2,2,1,7,7,7,1,1,4,5,4,4,2,1,1,2,2,7,1,1,7,1,1,1,7,1,22,1,1,5,9,Rural Mail Carrier,46,14,1,2,3,1,1,4,4,4,4,1,4,5,5,1,3,1,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,5,3,3,5,4,1,1,1,1,1,1,1,7,4,7,3,6,7,7,7,7,1,1,1,1,2,341
6,6,2,6,6,6,6,6,6,6,6,6,6,2,6,6,2,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,42,1,1,5,3,Analyst,45,44,6,5,7,6,6,6,4,5,4,5,5,4,5,5,5,5,4,5,5,4,4,4,5,5,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,7,4,4,4,4,4,6,7,7,7,7,6,7,7,7,7,6,6,4,2,142
7,6,1,6,6,5,5,5,5,1,7,6,1,1,7,7,1,7,7,3,1,1,3,6,1,1,5,2,1,1,7,6,20,1,2,5,10,social worker,55,23,6,5,7,3,2,3,4,2,2,4,2,4,4,5,5,4,5,5,5,5,5,2,1,4,1,2,2,4,4,5,4,5,5,5,5,4,4,5,2,2,2,2,2,2,2,7,7,7,6,7,7,7,4,6,6,3,5,7,3,205
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,6,4,4,4,7,1,1,7,1,1,1,7,7,24,1,2,5,9,Server,35,26,1,6,6,1,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,4,5,2,2,2,2,2,2,2,7,7,7,7,5,6,2,5,2,3,1,1,1,3,29
7,7,6,7,6,7,7,6,7,6,5,4,1,1,1,7,1,7,5,7,7,6,7,7,1,2,6,1,1,1,7,7,13,4,1,5,4,scientist,40,6,6,5,5,5,5,5,5,5,4,4,5,5,4,3,4,4,4,4,5,5,5,5,4,5,4,5,5,5,4,4,4,5,4,3,3,4,4,3,6,3,4,4,3,3,2,7,7,7,7,7,7,6,7,6,2,3,3,3,3,561
6,6,2,6,6,6,6,6,6,2,6,6,6,2,6,6,2,6,6,5,5,6,5,6,2,2,6,2,2,2,6,6,54,1,1,5,10,Insurance Professional,40,47,6,6,6,4,6,6,4,4,4,4,4,4,4,3,4,4,3,3,3,4,3,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,3,3,2,2,5,6,4,6,5,4,4,4,6,4,4,4,4,3,108
7,6,4,6,6,6,6,6,6,2,6,5,4,3,6,6,4,5,4,4,4,5,5,6,2,2,6,2,2,2,6,4,14,2,1,3,9,Yard Driver,40,3,1,4,5,4,2,3,5,3,4,5,4,4,5,3,3,2,3,4,4,4,3,3,3,5,3,5,4,4,5,5,5,5,3,3,3,3,2,2,4,1,4,3,3,3,3,5,3,4,4,3,4,4,3,3,3,3,3,3,3,511
7,6,6,7,6,6,6,6,7,6,1,5,2,2,6,6,1,6,7,6,6,5,6,5,2,2,5,4,1,1,6,6,24,2,1,3,8,Sales representative,40,20,1,6,5,4,5,5,4,4,3,3,3,4,3,2,3,2,4,4,4,4,3,3,4,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,6,1,7,7,7,7,7,7,7,7,7,6,7,6,7,7,6,2,3,2,3,95
6,6,2,6,7,7,4,5,4,3,6,5,1,1,6,6,4,6,6,7,7,7,7,5,6,5,2,7,2,4,6,5,18,1,1,6,10,Researcher,40,4,1,5,5,7,4,3,4,4,5,5,4,4,4,3,4,5,5,4,4,5,5,5,5,4,4,5,5,5,4,4,5,5,4,5,4,4,4,5,1,1,1,2,2,1,2,4,5,5,6,6,6,7,6,6,5,4,6,2,2,377
6,6,5,2,5,6,5,6,5,4,5,6,6,2,5,6,6,5,5,4,6,6,6,3,6,5,6,5,5,6,5,6,20,1,1,3,7,Warehouse supervisor,40,19,1,5,5,6,6,5,5,4,5,5,4,4,4,4,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,5,4,4,3,4,4,3,5,6,5,2,3,3,5,3,6,6,5,6,6,5,3,5,7,4,2,5,4,2,233
6,7,7,7,7,7,6,7,7,1,7,7,7,7,7,7,1,7,7,7,7,7,7,7,1,1,7,1,1,1,7,6,27,1,1,3,7,Reshipping supervisor,40,27,1,5,6,5,6,5,4,5,5,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,3,4,3,4,1,2,1,1,1,1,1,6,7,7,7,6,5,6,6,6,1,1,1,1,3,92
7,7,1,7,7,7,7,7,5,1,7,7,1,1,6,7,3,7,7,5,6,6,5,6,1,2,6,1,1,1,7,7,46,1,2,3,9,Maintenance engineer,40,38,1,3,6,2,1,4,4,4,4,3,2,4,5,5,5,4,4,4,4,4,1,4,3,5,5,5,5,5,4,4,5,4,3,4,3,2,2,3,2,1,6,5,1,1,1,7,5,7,5,4,1,1,1,1,1,1,1,1,3,166
6,7,2,7,7,7,6,7,7,1,7,6,2,1,7,6,1,5,6,6,5,5,6,5,2,5,5,3,1,1,7,5,8,,1,3,8,Personal Digital Shopper,35,6,1,6,7,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,4,4,5,4,5,5,5,4,2,4,5,4,5,5,4,4,3,5,4,5,6,7,3,6,7,3,3,7,6,7,6,6,6,7,7,7,2,3,6,2,3,361
6,5,5,5,5,4,4,4,4,5,5,3,4,5,4,5,6,5,3,7,6,3,6,4,5,4,5,4,4,5,4,4,23,4,2,6,2,Software Engineer,40,15,6,4,5,6,6,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,3,4,4,3,3,4,3,4,3,3,2,5,5,5,5,5,5,5,5,5,3,2,2,3,2,248
6,7,2,7,6,7,7,6,6,1,6,7,1,2,6,6,2,7,6,5,5,6,7,6,1,2,5,2,1,4,6,6,25,1,1,5,10,Production Manager,41,9,6,5,5,3,4,2,5,4,5,4,4,5,4,4,5,4,5,4,5,4,4,5,3,4,5,4,5,4,4,5,4,5,3,4,3,4,5,4,2,3,1,2,1,1,2,7,5,6,5,7,2,1,2,2,3,2,1,2,3,64
7,7,1,7,7,7,7,7,7,1,7,7,7,1,7,7,1,7,7,6,5,6,6,7,1,5,1,5,1,1,5,6,22,1,1,5,8,Senior analyst,40,13,6,7,7,1,7,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,3,3,3,2,4,2,1,7,7,7,7,7,1,1,1,1,6,1,1,1,3,383
7,7,1,7,7,6,6,7,6,3,7,7,1,1,7,6,2,6,6,7,7,7,6,7,1,1,7,2,1,2,6,2,24,1,1,5,7,Shipping and Receiving Manage,40,23,6,6,7,2,6,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,3,5,4,5,4,5,5,5,5,5,4,4,4,3,2,4,2,2,2,2,3,2,2,7,7,7,5,6,1,1,2,2,1,1,1,1,3,226
6,6,2,5,5,5,5,4,4,4,5,5,2,2,6,5,3,5,5,4,5,5,5,6,3,3,6,3,2,2,6,4,41,1,1,4,7,"CMM programmer, Quality",50,40,6,5,6,4,5,4,4,4,4,3,4,4,4,2,3,5,2,4,3,3,3,3,4,4,4,4,4,5,4,4,4,5,3,5,3,3,4,3,1,1,2,2,2,2,2,5,5,6,4,5,3,3,3,3,3,1,3,4,2,2
6,4,5,3,3,4,4,3,3,5,3,2,2,6,3,4,6,4,3,5,5,5,6,3,6,3,7,3,4,4,4,4,22,1,2,3,10,Guest Services Manager,40,20,1,6,6,4,6,6,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,2,3,4,3,3,4,5,4,4,3,2,3,5,5,3,4,3,4,1,566
6,4,5,3,2,2,2,3,3,6,4,5,5,4,3,4,5,3,3,4,3,3,5,4,1,1,7,5,4,3,2,3,16,1,2,5,8,Manager,40,15,1,2,3,2,3,3,4,3,4,4,3,5,4,3,4,4,4,4,5,4,3,2,2,3,2,3,3,4,3,3,4,4,2,4,1,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,3,6,6,6,6,1,345
6,6,2,6,5,5,5,5,5,3,6,6,2,2,5,6,1,6,6,5,5,5,4,6,3,2,4,2,2,3,6,6,22,1,2,6,3,professor,50,20,6,3,4,2,2,3,4,4,5,4,4,5,4,2,4,4,4,5,3,4,3,2,3,4,4,4,2,4,3,4,4,5,5,4,5,4,3,4,2,3,3,2,2,1,2,5,6,6,6,5,3,2,3,2,2,2,2,5,3,401
6,7,1,7,7,5,5,7,5,3,7,7,1,1,7,7,1,7,7,4,4,4,4,6,1,1,2,1,1,1,7,7,14,1,1,5,9,Data Analyst,42,8,5,3,5,1,1,2,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,2,2,3,3,4,4,5,5,5,5,5,5,5,3,2,2,3,1,1,1,1,1,1,1,7,7,7,6,6,5,6,4,4,5,3,7,7,3,237
3,2,5,2,2,1,2,2,2,7,2,3,6,6,2,1,7,1,1,5,3,3,5,1,7,7,1,7,5,7,1,1,35,1,2,6,7,Sales Manager,50,31,6,3,3,2,2,2,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,4,2,4,2,4,4,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,5,3,6,6,1,532
6,6,3,6,6,5,5,6,5,2,5,5,2,3,5,5,3,5,4,5,5,5,4,5,3,2,6,2,3,4,4,5,30,,1,3,9,Supervisor,40,22,1,5,6,3,5,3,4,4,4,5,4,5,4,3,4,3,5,5,4,4,4,3,2,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,2,4,4,3,3,5,4,5,5,5,4,4,6,4,4,3,4,4,2,544
7,6,2,6,6,6,6,6,6,2,7,7,1,2,6,5,3,5,4,5,3,3,3,4,2,1,6,3,2,2,6,2,40,1,2,4,4,pharmacy technician,40,29,1,4,6,5,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,2,2,4,2,4,4,5,3,4,4,5,3,3,2,2,3,2,3,1,2,1,1,1,1,3,3,3,3,3,2,1,2,2,4,5,5,5,3,187
6,6,2,6,6,6,6,6,6,2,6,6,2,2,6,6,2,6,6,6,6,6,6,6,2,2,6,2,2,2,6,6,32,1,2,6,10,Case Manager Human Services,40,24,1,5,6,3,6,2,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,2,4,2,3,5,5,5,5,5,5,4,5,3,4,3,3,3,3,3,3,2,3,3,5,5,5,3,5,2,3,2,2,6,3,3,3,3,72
6,6,6,6,6,6,7,7,7,1,7,7,2,2,6,5,3,5,6,4,5,5,5,6,2,2,7,2,2,5,5,2,27,1,2,4,4,health,40,24,5,3,5,2,5,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,5,5,5,5,4,5,4,3,5,3,3,3,3,3,3,3,5,5,6,6,6,6,6,6,6,5,3,5,5,3,304
7,6,1,6,6,6,7,7,7,1,6,5,4,2,6,5,2,5,5,7,6,6,6,5,3,2,6,6,1,2,6,6,12,1,1,2,9,Technician,45,14,6,6,6,5,5,6,5,4,4,5,4,5,5,4,5,3,4,4,4,4,2,4,3,4,4,4,5,4,5,5,5,5,4,4,3,4,4,4,2,2,2,3,1,2,2,6,7,6,6,6,3,5,6,6,3,2,3,3,3,400
5,5,4,5,5,5,5,5,5,4,5,5,5,3,3,5,3,5,5,3,3,4,4,5,3,4,5,3,3,3,4,4,20,,1,4,8,sales,40,9,6,5,5,4,5,4,4,4,4,3,4,4,4,3,3,4,3,3,4,4,3,4,4,3,4,3,4,4,3,4,4,4,3,3,4,3,4,3,5,5,4,4,3,3,4,5,5,5,4,4,3,3,5,5,4,3,3,4,2,213
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7,27,1,1,3,10,Purchasing Manager,40,25,1,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,6,2,6,1,1,2,2,7,7,6,6,6,1,1,7,4,6,4,4,7,3,23
7,5,2,5,5,5,5,5,5,3,5,5,3,3,5,5,3,5,5,5,5,6,6,5,3,3,5,1,3,3,5,5,23,1,2,5,10,Insurance Coordinator,38,15,6,7,7,5,6,5,4,4,4,4,3,5,5,4,5,4,5,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,6,6,6,6,6,2,4,4,4,2,2,2,2,2,363
6,5,4,6,5,5,5,4,5,4,6,5,3,3,6,6,2,6,6,6,6,6,6,5,4,4,3,3,2,2,4,4,34,1,1,5,10,Producer / Actor,40,25,6,5,5,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,2,5,5,5,5,5,5,5,4,4,4,5,5,5,3,5,4,4,4,4,5,2,167
7,7,1,7,7,6,6,7,5,5,7,7,1,1,7,6,3,7,7,4,4,4,4,7,2,3,5,1,1,1,6,5,23,1,2,5,10,Editor,50,22,5,7,7,3,6,6,3,3,3,4,3,4,3,5,5,4,5,5,3,4,3,1,1,1,1,1,4,5,3,5,4,4,5,5,5,3,2,5,3,6,5,5,3,4,4,5,7,6,4,4,6,4,6,4,6,4,5,7,3,516
6,6,2,6,6,7,6,7,6,2,6,6,6,2,6,6,3,5,3,5,4,5,5,6,2,2,3,6,2,2,5,2,21,1,2,6,3,teacher,45,16,1,4,5,3,3,3,4,2,2,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,2,6,2,2,2,5,5,5,5,5,2,3,6,4,4,4,2,2,2,168
3,4,5,3,3,3,3,3,3,5,3,3,6,5,3,3,6,3,3,6,6,6,6,4,4,3,6,4,4,4,6,2,28,1,2,3,9,Insurance Agent,40,26,1,7,7,6,7,5,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,2,3,3,2,3,4,5,4,4,4,5,4,4,4,4,4,4,1,1,1,1,1,1,1,5,5,4,5,4,5,3,5,4,7,6,6,6,1,307
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,23,1,1,5,7,PSE,50,18,1,4,4,4,4,6,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,501
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7,42,1,2,2,8,assistant manager,40,40,1,7,7,7,7,7,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,7,7,7,1,7,7,7,7,7,7,7,7,7,3,480
6,6,2,6,6,6,6,6,6,2,6,6,6,2,6,6,2,6,6,4,4,4,4,6,2,2,6,3,2,2,6,6,18,2,1,5,9,security,40,14,1,5,5,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,5,5,5,5,5,4,5,5,5,3,3,3,3,3,535
4,5,3,5,4,4,5,5,5,2,6,5,5,2,5,5,3,4,6,5,5,5,4,4,2,2,6,4,3,3,4,4,22,1,1,3,5,engineer,40,22,6,5,5,5,4,2,4,4,5,5,5,5,5,2,3,4,4,4,5,4,3,5,4,4,5,4,4,3,4,4,4,5,4,5,4,4,4,4,5,6,5,5,5,4,4,4,6,6,7,4,5,5,6,5,6,7,6,5,2,17
6,6,4,5,5,5,6,4,5,5,5,5,4,5,5,5,4,6,5,5,5,4,2,5,1,2,6,1,2,4,4,4,19,1,2,4,5,architecture,34,7,6,6,5,2,4,3,4,3,3,4,4,3,3,4,3,3,3,4,4,3,2,4,2,3,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,5,5,5,5,5,5,3,4,5,5,4,4,5,4,3,2,5,3,6,2,527
6,6,1,6,5,5,5,5,5,2,6,6,1,1,6,6,1,6,5,6,6,6,6,5,2,1,6,3,1,2,6,6,14,1,1,5,10,Finance Manager,40,10,6,5,6,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,2,2,1,1,1,1,1,7,6,7,7,7,6,7,7,7,1,1,1,1,3,211
7,5,2,3,5,6,4,4,5,2,5,2,5,2,3,6,2,6,3,6,3,6,5,7,1,2,6,2,1,1,6,4,15,1,2,4,10,Freelance Contract Worker,20,14,5,3,6,7,3,5,4,4,4,4,4,4,5,1,3,3,2,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,2,2,1,4,2,1,1,1,2,2,1,1,1,3,5,4,5,3,3,3,6,4,3,1,4,5,2,404
5,5,2,6,5,5,5,6,4,4,6,6,1,3,6,6,3,5,4,6,6,6,6,5,3,4,3,3,2,2,6,5,22,1,1,5,10,Benefits Manager,40,17,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,4,4,5,5,5,5,5,5,6,5,4,5,5,5,5,5,3,3,4,2,3
5,5,3,5,4,3,3,4,3,5,4,3,2,4,5,4,6,4,4,5,4,4,5,5,3,5,2,6,4,4,5,3,45,1,2,5,4,neurodiagnostic technologist,33,,1,5,5,5,4,4,4,4,4,4,4,5,5,2,5,2,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,3,5,3,3,3,4,1,1,3,3,2,2,1,6,6,6,6,6,3,3,4,4,3,4,4,5,2,36
6,7,2,6,7,6,7,6,7,7,6,7,5,6,5,7,5,7,7,1,3,6,4,6,2,3,6,7,2,4,7,3,9,1,1,5,7,Service,35,2,1,6,7,6,7,4,5,4,5,4,5,4,5,3,5,3,5,4,3,5,4,5,5,4,5,4,4,5,5,5,4,5,4,3,4,5,4,5,7,6,7,6,3,3,3,7,6,7,7,6,4,6,7,7,3,5,4,4,2,14
6,6,2,6,4,5,6,6,5,6,5,6,6,2,6,6,6,5,6,5,2,5,5,5,5,6,5,6,6,5,5,5,19,1,1,5,8,Retail management,7,5,1,6,6,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,2,536
7,7,1,7,7,7,7,7,7,1,7,7,1,1,6,7,2,7,5,6,6,6,6,7,2,2,7,2,1,2,7,6,18,1,1,5,7,Fulfillment associate,40,15,1,6,7,6,6,6,5,5,5,4,4,5,5,4,4,4,4,5,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,2,3,3,2,2,2,2,7,7,7,6,7,5,5,5,7,4,4,5,5,3,299
6,6,2,6,6,6,6,6,6,1,6,6,2,2,6,6,2,6,6,5,5,5,6,4,4,2,6,5,2,2,6,4,44,1,2,5,10,accountant,40,31,6,6,6,4,5,3,4,4,4,4,4,5,5,3,5,5,4,4,2,3,3,3,3,4,3,3,5,5,5,5,5,5,4,4,3,4,3,4,1,1,1,1,1,1,1,6,6,6,6,4,4,4,4,4,2,1,2,2,3,161
6,7,2,6,6,7,7,7,6,2,5,6,6,1,5,6,3,6,5,6,5,5,6,7,2,2,6,2,2,1,6,5,25,1,2,3,7,manufacturing,40,18,1,4,5,2,5,4,4,4,4,5,4,4,5,2,4,5,4,4,5,5,5,4,3,4,4,4,4,5,5,4,4,4,4,3,3,4,4,3,3,3,2,3,3,2,2,5,5,6,6,5,5,5,6,6,3,3,3,3,3,22
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,4,4,4,6,7,1,1,5,1,1,1,7,7,21,1,4,7,10,Research Scientist,40,15,6,7,7,1,2,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,1,1,1,2,2,1,1,5,5,5,5,5,2,4,6,6,4,2,2,2,3,165
6,6,1,6,6,6,6,6,6,1,6,6,1,1,6,6,1,6,6,6,6,6,6,6,1,1,6,1,1,1,6,6,40,,1,5,4,Registered Nurse,48,38,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,2,2,2,2,3,557
6,5,2,6,6,6,6,6,5,2,6,5,2,2,6,5,2,6,6,5,4,5,5,6,2,2,6,2,2,2,5,5,16,,1,5,10,Software Developer,40,12,1,4,5,4,5,2,4,4,4,3,4,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,3,3,5,3,3,3,3,3,3,3,3,7,7,7,6,6,3,4,4,4,3,3,3,3,3,492
